tag	area_code	subtitle_location	drawing	level	project_site
C1121-Q1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1121-SS1	1121	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-AS1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-AS2	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-BS1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-ESR1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-ESR2	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-M1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-MS1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-Q1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1221-SS1	1221	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
C1311A-SS1	C1311A	CULLET TOWER -5.000	DE040727A	-5	CINER GLASS BELGIUM
C1331A-SS1	C1331A	CULLET TOWER -5.000	DE040727A	-5	CINER GLASS BELGIUM
C6131A-AS1	C6131A	BATCH TRANSPORT START +0.000	DE040732A	0	CINER GLASS BELGIUM
C6131A-AS1	C6131A	BATCH TRANSPORT START +20.730 / +18.370	DE040732A	1.128470332	CINER GLASS BELGIUM
C6131A-AS2	C6131A	BATCH TRANSPORT START +0.000	DE040732A	0	CINER GLASS BELGIUM
C6131A-AS2	C6131A	BATCH TRANSPORT START +20.730 / +18.370	DE040732A	1.128470332	CINER GLASS BELGIUM
C6131A-ESR1	C6131A	BATCH TRANSPORT START	DE040732A	0	CINER GLASS BELGIUM
C6131A-ESR2	C6131A	BATCH TRANSPORT START	DE040732A	0	CINER GLASS BELGIUM
C6131A-M1	C6131A	BATCH TRANSPORT START +20.730 / +18.370	DE040732A	1.128470332	CINER GLASS BELGIUM
